Table,alarm,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
alarm_type_id,alarm_type,id,code,,,,
tag_type_id,tag_type,id,code,,,,
tag_id,tag,id,name,tag_type,code,tag_type_code
alarm_msg_id,alarm_message,id,abbr,,,,
Data,,,
alarm_type_id,tag_type_id,tag_id,alm_occurred,acknowledged,active,alarm_msg_id,create_dt
HH,AI,AT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:05
HH,AI,AT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:11
HH,AI,AT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,AT04-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT04-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT05-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT06-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT07-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT08-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT09-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT10-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT11-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,CT12-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
HH,AI,FOT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:12
